Tue Dec  1 14:03:16 2020    prof/combined.prof

         6666021 function calls (6641966 primitive calls) in 14.234 seconds

   Ordered by: cumulative time
   List reduced from 1457 to 224 due to restriction <'^test_.*(\\(test_)'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 test_projects_id_categories_id.py:301(test_project_id_categories_id_head_not_allowed)
        1    0.000    0.000    0.008    0.008 test_categories.py:282(test_options_ok_categories)
        1    0.000    0.000    0.008    0.008 test_categories_id.py:64(test_get_category_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_projects_id_tasks_id.py:271(test_project_id_tasks_id_patch_not_allowed)
        1    0.000    0.000    0.008    0.008 test_categories.py:304(test_patch_not_allowed_categories)
        1    0.000    0.000    0.008    0.008 test_categories.py:34(test_get_empty_response_xml_categories)
        1    0.000    0.000    0.008    0.008 test_todos_id_categories_id.py:268(test_options_todos_category_ok)
        1    0.000    0.000    0.008    0.008 test_categories_id_projects.py:96(test_get_categories_projects_category_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_categories.py:233(test_post_category_valid_body_xml_categories)
        1    0.000    0.000    0.008    0.008 test_projects.py:261(test_delete_not_allowed_projects)
        1    0.000    0.000    0.008    0.008 test_todos_id_tasksof_id.py:291(test_patch_todo_project_not_allowed)
        1    0.000    0.000    0.008    0.008 test_todos_id_tasksof_id.py:276(test_head_todo_project_not_allowed)
        1    0.000    0.000    0.008    0.008 test_todos_id_tasksof.py:306(test_head_todos_projects_ok)
        1    0.000    0.000    0.008    0.008 test_todos_id_tasksof.py:291(test_options_todos_projects_ok)
        1    0.000    0.000    0.008    0.008 test_categories_id.py:339(test_post_category_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_todos_id_tasksof.py:112(test_put_todos_projects_not_allowed)
        1    0.000    0.000    0.007    0.007 test_projects.py:27(test_get_empty_response_xml_projects)
        1    0.000    0.000    0.007    0.007 test_todos_id.py:404(test_options_todo_does_not_exist)
        1    0.000    0.000    0.007    0.007 test_categories_id_projects_id.py:264(test_options_category_project_ok)
        1    0.000    0.000    0.007    0.007 test_categories_id_todos_id.py:256(test_category_id_todos_id_head_not_allowed)
        1    0.000    0.000    0.007    0.007 test_categories_id_projects.py:310(test_head_categories_projects_ok)
        1    0.000    0.000    0.007    0.007 test_projects_id_categories_id.py:315(test_project_id_categories_id_patch_not_allowed)
        1    0.000    0.000    0.007    0.007 test_projects_id_tasks_id.py:243(test_project_id_tasks_id_options_OK)
        1    0.000    0.000    0.007    0.007 test_categories_id_todos_id.py:271(test_category_id_todos_id_patch_not_allowed)
        1    0.000    0.000    0.007    0.007 test_categories_id.py:382(test_delete_category_does_not_exist)
        1    0.000    0.000    0.007    0.007 test_categories_id_projects.py:294(test_options_categories_projects_ok)
        1    0.000    0.000    0.007    0.007 test_projects.py:15(test_get_empty_response_projects)
        1    0.000    0.000    0.007    0.007 test_categories_id_projects_id.py:280(test_head_category_project_not_allowed)
        1    0.000    0.000    0.007    0.007 test_categories.py:117(test_put_not_allowed_categories)
        1    0.000    0.000    0.007    0.007 test_categories.py:18(test_get_empty_response_categories)
        1    0.000    0.000    0.007    0.007 test_projects_id_categories_id.py:287(test_project_id_categories_id_options_OK)
        1    0.000    0.000    0.007    0.007 test_categories_id_todos_id.py:241(test_category_id_todos_id_options_OK)
        1    0.000    0.000    0.007    0.007 test_categories_id_projects.py:114(test_put_categories_projects_not_allowed)
        1    0.000    0.000    0.007    0.007 test_categories_id_projects.py:326(test_patch_categories_projects_not_allowed)


